Title,Author,First Published Year,Subjects,Cover Image URL
La vacant imprevista,J. K. Rowling,2012,,http://covers.openlibrary.org/b/id/13525150-L.jpg
El quidditch de totes les èpoques,J. K. Rowling,2016,,http://covers.openlibrary.org/b/id/13777378-L.jpg
Harry Potter Magos y Hechicera - Para Colorear,J. K. Rowling,2001,,http://covers.openlibrary.org/b/id/3345084-L.jpg
Harry Potter și Ordinul Phoenix,J. K. Rowling,2017,,http://covers.openlibrary.org/b/id/10547041-L.jpg
Harry Potter en de relieken van de dood,J. K. Rowling,2007,,http://covers.openlibrary.org/b/id/13678032-L.jpg
La Nimbus 2000,J. K. Rowling,2001,,http://covers.openlibrary.org/b/id/3345117-L.jpg
Harry Potter,J. K. Rowling,2001,Children's fiction,http://covers.openlibrary.org/b/id/10522626-L.jpg
Harry Potter e la camera dei segreti vol. 2,J. K. Rowling,2014,,http://covers.openlibrary.org/b/id/10540111-L.jpg
Harry&nbsp;Potter y el Misterio Del Príncipe / Harry Potter and the Half-Blood Prince,J. K. Rowling,2020,,http://covers.openlibrary.org/b/id/14178442-L.jpg
Harry Potter and the Goblet of Fire [3/4],J. K. Rowling,2005,,http://covers.openlibrary.org/b/id/13028496-L.jpg
Harry Potter y la Orden del Fénix,J. K. Rowling,2011,,http://covers.openlibrary.org/b/id/10553715-L.jpg
Harry Potter and the Philosopher's Stone. 1/2,J. K. Rowling,1999,,http://covers.openlibrary.org/b/id/7278006-L.jpg
Aventuras Con Harry - Harry Potter,J. K. Rowling,2001,,
Ozan Beedle'ın Hikayeleri,J. K. Rowling,2018,,http://covers.openlibrary.org/b/id/12298096-L.jpg
Harry Potter Viaje Magico - Para Colorear,J. K. Rowling,2001,,http://covers.openlibrary.org/b/id/3345085-L.jpg
Harry Potter. A History of Magic,J. K. Rowling,2017,Juvenile literature,
En La Plataforma 9 3/4,J. K. Rowling,2001,,http://covers.openlibrary.org/b/id/3345118-L.jpg
Harry Potter and the Goblet of Fire [1/4],J. K. Rowling,2005,,http://covers.openlibrary.org/b/id/13028492-L.jpg
Harry Potter - Personajes Encantados,J. K. Rowling,2001,,
"Harry Potter - Hogwarts, Colegio",J. K. Rowling,2001,,http://covers.openlibrary.org/b/id/13839803-L.jpg
Harry Potter I Ksiaze Polkrwi,J. K. Rowling,2006,,http://covers.openlibrary.org/b/id/10862579-L.jpg
El Libro de Las Mascaras,J. K. Rowling,2002,,
El Gran Mago,J. K. Rowling,2001,,
Harry Potter e la maledizione dell'erede,J. K. Rowling,2016,,http://covers.openlibrary.org/b/id/10485911-L.jpg
Harry Potter Pociones y Animal - Block Actividades,J. K. Rowling,2001,,http://covers.openlibrary.org/b/id/3345080-L.jpg
Harry Potter Amigos y Enemigos - Para Colorear,J. K. Rowling,2001,,http://covers.openlibrary.org/b/id/3345087-L.jpg
"Llaves Voladoras, Las",J. K. Rowling,2002,,http://covers.openlibrary.org/b/id/3345120-L.jpg
Animali fantastici e dove trovarli. Screenplay originale,J. K. Rowling,2018,,http://covers.openlibrary.org/b/id/10540106-L.jpg
Harry Potter and the Half-Blood Prince - Ravenclaw Edition,J. K. Rowling,2021,,http://covers.openlibrary.org/b/id/12997553-L.jpg
Harry Potter Dumbledore El Gran -Block Actividades,J. K. Rowling,2001,,http://covers.openlibrary.org/b/id/3345078-L.jpg
Harry Potter i wiezien Azkabanu,J. K. Rowling,2016,,http://covers.openlibrary.org/b/id/13950421-L.jpg
HARRY POTTER SI CAMERA SECRETELOR,J. K. Rowling,2016,,http://covers.openlibrary.org/b/id/10547034-L.jpg
Viaje Al Mundo de Los Magos - Harry Potter /Con Stickers,J. K. Rowling,2002,,http://covers.openlibrary.org/b/id/3345119-L.jpg
Harry Potter El Sombrero - Block Actividades,J. K. Rowling,2001,,
"142 Escaleras, Las",J. K. Rowling,2001,,http://covers.openlibrary.org/b/id/3345116-L.jpg
Harry Potter and the Half-Blood Prince [2/2],J. K. Rowling,2005,,http://covers.openlibrary.org/b/id/12703512-L.jpg
Harry Potter en de relieken van de dood,J. K. Rowling,2007,,http://covers.openlibrary.org/b/id/10584469-L.jpg
Harry Potter and the Order of the Phoenix [4/5],J. K. Rowling,2003,Korean language materials,http://covers.openlibrary.org/b/id/8236478-L.jpg
Amigos Para Siempre,J. K. Rowling,2001,,http://covers.openlibrary.org/b/id/8273276-L.jpg
Harry Potter and the Order of the Phoenix. 1/2,J. K. Rowling,2003,,
Harry Potter and the Deathly Hallows,J. K. Rowling,2010,"Potter, harry (fictitious character), fiction",
Harry Potter Misterios del Bosque,J. K. Rowling,2001,,http://covers.openlibrary.org/b/id/3345082-L.jpg
บังอู๋ครีเอท,J. K. Rowling,2023,,
Las Aventuras de Harry Potter,J. K. Rowling,2001,,http://covers.openlibrary.org/b/id/3345090-L.jpg
Harry Potter and the Order of the Phoenix [3/5],J. K. Rowling,2003,Korean language materials,http://covers.openlibrary.org/b/id/8267051-L.jpg
Harry Potter House Slytherin Edition Series 11-15,J. K. Rowling,2020,,http://covers.openlibrary.org/b/id/12551029-L.jpg
El Gran Juego de los Magos,J. K. Rowling,2001,,http://covers.openlibrary.org/b/id/3345086-L.jpg
Sangue Revolto,J. K. Rowling,2019,,http://covers.openlibrary.org/b/id/12369349-L.jpg
Harry Potter Hermione La Gran - Block Actividades,J. K. Rowling,2001,,
Harry Potter and the Half-Blood Prince,J. K. Rowling,2006,,http://covers.openlibrary.org/b/id/12656589-L.jpg
Gwiazdkowy prosiaczek,J. K. Rowling,2021,,http://covers.openlibrary.org/b/id/12683029-L.jpg
Harry Potter aur paras patthar,J. K. Rowling,2002,,
Lord Edgware Dies,Agatha Christie,1933,Hercule Poirot (Fictitious character),http://covers.openlibrary.org/b/id/9492111-L.jpg
After the Funeral,Agatha Christie,1953,Fiction,http://covers.openlibrary.org/b/id/12996535-L.jpg
Peril at End House,Agatha Christie,1932,Captain Hastings (Fictitious character),http://covers.openlibrary.org/b/id/12996556-L.jpg
The Murder on the Links,Agatha Christie,1923,Fiction,http://covers.openlibrary.org/b/id/10281949-L.jpg
The Secret Adversary,Agatha Christie,1922,Classic Literature,http://covers.openlibrary.org/b/id/11153492-L.jpg
Death on the Nile,Agatha Christie,1937,Belgians,http://covers.openlibrary.org/b/id/10247206-L.jpg
Poirot investigates,Agatha Christie,1924,Hercule Poirot (Fictitious character),http://covers.openlibrary.org/b/id/11562020-L.jpg
The Body In The Library,Agatha Christie,1942,Fiction,http://covers.openlibrary.org/b/id/12855259-L.jpg
A Murder Is Announced,Agatha Christie,1950,Fiction,http://covers.openlibrary.org/b/id/10249340-L.jpg
They Do It with Mirrors,Agatha Christie,1952,Fiction,http://covers.openlibrary.org/b/id/10249524-L.jpg
